"Qualifying Name","Name of Area","FIPS","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month (Adults)","Mentally Unhealthy Days per Month (Adults)","Percent Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent Adults with Limited Access to Doctor Due to Costs","Health Care Costs Price-adjusted Medicare Reimbursements","Percent of Persons Without Insurance (Population 18 to 64 Years, 2009 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2009 est.)","Persons Without Insurance (Population 18 to 64 Years, 2009 est.)","Persons Without Insurance (Population Under 65 Years, 2009 est.)","Premature Deaths (Less than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Percent of Diabetic Medicare Enrollees Receiving Hba1c Test","Diabetic Medicare Enrollees (Out of Total Medicare Enrolles)","Chlamydia Cases (Count)","Chlamydia Cases Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Current Smokers (Persons 18 Years and Over)","Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent Obese Persons (20 Years and Over)","Percent Physically Inactive Persons (20 Years and Over)","Persons with Limited Access to Healthy Foods","Obese Persons (20 Years and Over)","Physically Inactive Persons (20 Years and Over)"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_NV007_001,SE_NV007_002,SE_T007_001,SE_T007_002,SE_T008_001,SE_NV008_001,SE_T009_001,SE_NV009_001,SE_T010_001,SE_T010_002,SE_NV010_001,SE_NV010_002,SE_T011_001,SE_T011_002,SE_T011_003,SE_NV011_001,SE_NV011_002,SE_NV011_003
"Autauga County, Alabama","Autauga","01001","01","01001",4.9,4.1,335,341,22.2,341,9.7,4663,22,1,11,43.690670056,2,20.990364,16.7,10146.32,17.8,13.8,5312,6059,721,9865.83,84.247787611,565,214,424.9,24.6,15.9,343,336,21.02,34.1,32.2,9274,"",""
"Baldwin County, Alabama","Baldwin","01003","01","01003",3.4,4.2,1409,1413,12.5,1437,9,14373,144,29,83,81.719746669,16.5,48.142735,16.1,10018.91,20,16.4,21017,23971,2228,8091.77,80.946065429,2262,471,270,22.7,19.7,1432,1400,0.72,25.5,25.1,999,"",""
"Barbour County, Alabama","Barbour","01005","01","01005",6.1,4.6,314,316,24.8,323,12.1,2580,11,2,9,36.868212897,6.7,32.424253,17.9,9979.23,24,19.4,4392,4781,366,8835.69,84.792626728,434,208,709.7,23.4,11,324,319,4.85,37,34.2,1275,"",""
"Bibb County, Alabama","Bibb","01007","01","01007",4.8,5.6,280,277,20.5,287,10,1867,6,0,4,27.791931076,0,17.826901,17.9,12040,22.9,18.4,3028,3349,378,13096.85,81.533101045,287,69,319,35.1,13.1,286,282,35.34,34,37.2,7087,"",""
"Blount County, Alabama","Blount","01009","01","01009",6.1,5.1,307,308,25.2,315,7.5,4828,13,1,5,22.493684466,1.7,8.890469,18.6,10755.04,21.9,17.6,7642,8591,781,8698.84,82.286634461,621,50,87,22.7,5.2,317,314,29.4,32,35.9,14841,"",""
"Bullock County, Alabama","Bullock","01011","01","01011",5.2,5.7,87,87,,,13.7,1199,5,0,2,45.783353173,0,18.163655,,10049.02,26.8,21.1,1814,1982,201,13597.75,83.177570093,214,91,842.9,,4.6,,85,15.82,39.4,30.9,1598,"",""
"Butler County, Alabama","Butler","01013","01","01013",4.3,3.5,288,290,24.1,301,11.3,1944,9,1,4,44.618511725,5,19.144252,17.9,12589.61,22.7,17.8,2594,2896,381,12230.6,79.606879607,407,121,602.3,28.7,8.8,301,289,2.75,40.8,36.6,579,"",""
"Calhoun County, Alabama","Calhoun","01015","01","01015",5.1,4.9,1194,1201,23.1,1224,9,10495,87,12,43,76.704695738,10.6,37.001661,17.3,11047.15,19.4,15.5,13276,14673,2033,11208.41,78.612440191,2090,616,543.1,26.8,12.5,1229,1198,18.92,33.6,33.9,20814,"",""
"Chambers County, Alabama","Chambers","01017","01","01017",4.4,4.8,293,303,41.1,317,11.1,2968,17,1,7,49.31395585,2.9,20.087812,19.9,9623.32,23.5,18.7,4752,5196,660,11218.17,84.120734908,762,194,563.6,21.4,12.7,316,308,0.81,35.2,35.8,293,"",""
