Qualifying Name,Name of Area,FIPS,State,County,Physically Unhealthy Days per Month (Persons 18 Years and Over),Mentally Unhealthy Days per Month (Persons 18 Years and Over),Physically Unhealthy Days per Month,Mentally Unhealthy Days per Month,Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over),Adults That Report Fair or Poor Health,Percent of Low Birthweight Births (<2.5kg),Low Birthweight Births (<2.5kg),Primary Care Physicians (PCP),Mental Health Providers (MHP),Dentists,"Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population",Percent Adults with Limited Access to Doctor Due to Costs,Health Care Costs Price-adjusted Medicare Reimbursements,"Percent of Persons Without Insurance (Population Under 19 Years, 2010 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2010 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2010 est.)","Persons Without Insurance (Population Under 19 Years, 2010 est.)","Persons Without Insurance (Population 18 to 64 Years, 2010 est.)","Persons Without Insurance (Population Under 65 Years, 2010 est.)",Premature Deaths (Less than 75 Years),"Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)",Child Mortality (Death Counts),Premature Age-adjusted Mortality (Death Counts),"Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population",Percent of Diabetic Medicare Enrollees Receiving Hba1c Test,Diabetic Medicare Enrollees (Out of Total Medicare Enrolles),Teen Births (Females 15 to 19 Years),Chlamydia Cases (Count),HIV Prevalence (Count),"Teen Births Rate per 100,000 Population (Females 15 to 19 Years)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population",Percent Current Smokers (Persons 18 Years and Over),Percent Drinking Adults (Persons 18 Years and Over),Current Smokers (Persons 18 Years and Over),Binge or Heavy Drinking Persons (Persons 18 Years and Over),Percent of Persons with Limited Access to Healthy Foods,Percent Obese Persons (20 Years and Over),Percent Physically Inactive Persons (20 Years and Over),Persons with Limited Access to Healthy Foods,Obese Persons (20 Years and Over),Physically Inactive Persons (20 Years and Over)
"Autauga County, Alabama",Autauga,1001,1,1001,5.1,4.3,374,382,23.2,383,9.4,450,20,2,14,0.000366052,3.66E-05,0.00025412,17.5,9489.02,5.3,17.4,13.6,811,5771,6467,729,8376.42,35,729,59.21565,439.5,84.7715736,591,608,198,76,42.50559284,362.8,185,23.5,16.5,385,374,9.793530396,34.1,32.2,5344,,
"Baldwin County, Alabama",Baldwin,1003,1,1003,3.3,3.8,1494,1501,12.5,1526,8.8,1325,136,32,78,0.000742119,0.000174616,0.000420336,15.5,9618.34,9.1,23.1,19.1,3950,25021,28586,2325,7770.16,97,2325,58.71173,365,80.87105038,2342,1842,558,269,48.24262742,306.1,179,22.6,18.7,1521,1474,5.460260624,25.5,25.1,9952,,
"Barbour County, Alabama",Barbour,1005,1,1005,5,4.1,368,371,22.4,377,12.3,309,12,1,9,0.000438116,3.65E-05,0.000294281,17.1,9761.77,6.4,23.6,18.5,398,3424,3782,422,9458.14,26,422,105.2589,459.3,85.83162218,487,469,177,86,74.43262974,644.6,344.5,23.5,12.7,379,370,11.42031572,37,34.2,3135,,
"Bibb County, Alabama",Bibb,1007,1,1007,5,5.3,321,319,21,330,11.9,215,6,,5,0.000262238,,0.000199171,17.9,11269.81,6.1,22.4,17.7,325,2870,3166,390,11543.9,22,390,103.8912,541.8,85.47854786,303,245,75,18,47.78622976,327.3,99.5,32.8,13.2,329,321,2.144660992,34,37.2,491,,
"Blount County, Alabama",Blount,1009,1,1009,5.2,4,334,333,21.5,340,7.6,372,12,1,11,0.000209107,1.74E-05,0.000190062,15.4,10238.2,8.1,23.9,19.3,1191,8295,9351,826,8505.64,36,826,63.88302,426.2,84.46601942,515,632,65,39,49.02645256,113.4,80.8,22,5.4,341,337,1.062467654,32,35.9,609,,
"Bullock County, Alabama",Bullock,1011,1,1011,5,,96,,25.1,99,14.1,177,6,,2,0.000550812,,0.000158945,,9567.91,5.2,21.1,16.2,131,1167,1285,192,9883.66,,192,,514.8,76.11111111,180,240,84,32,85.7449089,769.7,358.4,,,,,20.15173014,39.4,30.9,2199,,
"Butler County, Alabama",Butler,1013,1,1013,3.8,3.2,332,333,19.8,345,10.4,202,7,1,6,0.000334273,4.78E-05,0.000282034,17.2,10612.92,5.5,21.9,17.1,291,2717,2971,389,11005.65,13,389,63.98582,553,82.8125,384,309,135,34,61.78764247,644.5,207.4,29,9.7,346,331,2.832029115,40.8,36.6,593,,
"Calhoun County, Alabama",Calhoun,1015,1,1015,5.1,5,1303,1312,23.5,1337,9.2,961,74,11,53,0.000624863,9.29E-05,0.000436771,17.9,11551.97,5.4,20.1,16.1,1520,14592,15920,2042,11097.28,88,2042,81.33613,532.3,80.07736944,2068,1481,671,166,51.26341295,565.9,175.6,26.2,12.7,1339,1293,10.04382389,33.6,33.9,11909,,
"Chambers County, Alabama",Chambers,1017,1,1017,4.8,4,328,337,39.6,351,11.4,327,14,1,9,0.00041004,2.93E-05,0.000260108,21,9133.38,5.9,23.7,18.8,472,4901,5324,643,10367.83,20,643,62.83183,531.1,86.04954368,767,510,227,81,64.4102046,663.5,281.6,23.8,7.9,351,340,8.821524906,35.2,35.8,3018,,
"Cherokee County, Alabama",Cherokee,1019,1,1019,5.1,4.3,187,191,23.1,198,9.3,159,8,,3,0.000307728,,0.000114125,14.8,10813.24,7,23,18.8,404,3615,3980,470,9408.68,16,470,72.66782,466.5,88.59470468,491,269,67,21,52.40600039,257.8,100.1,25.4,14,198,189,0.132686376,30.6,35.9,34,,
