Qualifying Name,Name of Area,FIPS,Nation,State,County,Physically Unhealthy Days per Month (Persons 18 Years and Over),Mentally Unhealthy Days per Month (Persons 18 Years and Over),Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over),Percent of Low Birthweight Births (<2.5kg),Low Birthweight Births (<2.5kg),Primary Care Physicians (PCP),Mental Health Providers (MHP),Dentists,"Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population",Health Care Costs Price-adjusted Medicare Reimbursements,"Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population 18 to 64 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)",Premature Deaths (Less than 75 Years),"Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)",Infant Mortality (Death Counts),Child Mortality (Death Counts),Premature Age-adjusted Mortality (Death Counts),Drug Poisoning Mortality (Death Counts),"Infant Mortality Rate per 1,000 Live Births","Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population",Percent Diabetics (Adults),Percent of Diabetic Medicare Enrollees Receiving Hba1c Test,Diabetics,Diabetic Medicare Enrollees (Out of Total Medicare Enrolles),Teen Birth Count (Females 15 to 19 Years),Chlamydia Cases (Count),HIV Prevalence (Count),"Teen Births Rate per 100,000 Population (Females 15 to 19 Years)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population",Percent Current Smokers (Persons 18 Years and Over),Percent Drinking Adults (Persons 18 Years and Over),Percent of Persons with Limited Access to Healthy Foods,Percent of Persons with Access to Exercise Opportunities,Percent Obese Persons (20 Years and Over),Percent Percent Physically Inactive Persons (20 Years and Over),Percent of Children Eligible for Free Lunch (Persons < 18 Years),Food Environment Index
"Autauga County, Alabama ",Autauga County,1001,,1,1,4.4,4.3,19.4,8.786701209,407,22,8,18,39.82189,14.44174,32.49391,10165.85,3.859072,17.481181,13.42053547,563,5852,6351,809,9215.1,33,29,809,13,7.054297,50.48834,456.4,7.82402,10.9,83.84401114,,718,509,231,93,35.18352112,416.1112512,205.40684,18.7,15.1,9.793530396,70.8214986,30.9,28.7,36.9455593,7.1
"Apache County, Arizona",Apache County,4001,,4,1,5.7,5.3,29.5,6.950539675,586,21,74,49,29.19343,103.02389,68.21852,8073,14.622248,28.29382,23.58182452,3327,11779,14874,1099,14319.8,60,66,1099,13,6.976744,73.82881,535,5.991971,16.6,27.9809221,,1258,1253,602,73,55.2249989,822.4605506,127.80783,25.6,14.6,43.82803865,22.13848262,32.8,21.8,,0.5
"Arkansas County, Arkansas",Arkansas County,5001,,5,1,4.6,4.2,21.1,11.42374789,203,10,15,7,53.25664,80.67118,37.64655,8549.44,6.258412,22.561576,17.97585043,279,2519,2769,322,10678,,16,322,,,91.12136,490.6,,13,82.16783217,,286,272,112,34,65.36890171,592.8435317,214.83635,22.4,13.9,7.922580215,48.40948525,34,37.1,54.6885035,6
"Alameda County, California",Alameda County,6001,,6,1,3.4,3.3,13,7.24314432,10132,1675,7937,1433,106.08712,492.69952,88.95532,8560.43,5.950529,17.391618,14.41522675,21348,178422,197119,12315,4885.7,619,521,12315,473,4.367028,38.0772,256.3,9.969371,9.1,80.58229352,,8415,7330,6479,5363,21.83907019,416.7309869,410.9462,10.6,16.3,1.604128383,99.73316047,20,14.7,42.8335259,7.6
"Adams County, Colorado",Adams County,8001,,8,1,3.5,3.3,15.8,8.722470608,4214,223,1297,266,47.52842,269.80475,55.3339,9336.09,10.6523,25.646917,20.91620515,14374,75008,88148,4159,6480.6,294,220,4159,274,6.032502,42.69871,337.8,19.439393,7.6,84.55621302,,1690,4783,1982,703,47.49798906,431.2464371,193.61111,18.1,18.5,4.530165918,94.65447472,25.8,20,44.6999652,8.1
"Fairfield County, Connecticut ",Fairfield County,9001,,9,1,2.8,3.2,11.8,7.630721365,5690,847,2443,853,90.11559,258.39875,90.22273,9006.98,5.980098,16.267712,13.31661342,13960,92568,105291,6679,4426.8,364,317,6679,299,4.762652,35.14186,223.5,10.605932,8.3,84.43796395,,7544,3367,2755,2679,15.41483157,295.0199982,345.12255,14.2,18.3,2.563960775,96.78904136,20.8,20.3,29.6633297,8.4
"Kent County, Delaware",Kent County,10001,,10,1,3.6,3.8,15.7,8.476974531,1318,103,274,68,60.79709,159.31437,39.53787,9294.58,4.691021,12.683613,10.35581367,1957,12719,14497,2072,7781.6,102,84,2072,105,6.52299,51.98663,379,20.627508,11.7,85.81889187,,4097,1357,1172,341,32.34109488,699.1755456,246.52622,18.2,15.3,4.833615551,69.49910665,33.2,28.1,47.0273392,7.7
"District of Columbia County, District of Columbia ",District of Columbia County,11001,,11,1,2.8,3.2,12.7,10.21426566,6550,749,2923,771,115.86374,443.62286,117.01445,7970.79,3.059202,8.784689,7.578031462,3519,37844,40951,7213,7782.4,624,383,7213,275,9.839788,89.67392,394.6,14.19234,8.3,80.26199327,,5649,6428,6414,15505,44.25991338,1014.355005,2812.47392,15.8,24.9,0.952962465,100,22.1,17,58.0949366,8
"Alachua County, Florida ",Alachua County,12001,,12,1,4,3.9,16.4,8.705522381,1764,379,1283,405,149.53581,500.42905,157.96864,9446.64,9.693417,21.93574,19.09718273,4613,36430,40292,2345,6625,164,134,2345,65,8.079614,75.3283,329.8,8.53861,8.4,85.28381219,,2854,1667,1814,895,19.46134,721.5104786,408.93161,18.2,20.3,7.183420908,83.5345441,25.3,19.2,42.313268,6.1
"Appling County, Georgia ",Appling County,13001,,13,1,4.3,4.1,19.9,10.65217391,196,9,7,2,48.80694,37.7562,10.78749,9878.49,12.285834,29.226895,24.05121171,588,3134,3682,319,11086.3,,15,319,,,80.51098,514.8,,13,79.13907285,,302,344,70,20,86.21553885,381.097561,132.86388,17.9,14.2,5.840546911,29.3156394,35.2,29.6,61.9354839,6.6
