"V006","V007","V024","V025","V113","V116","V127","V128","V129","V460","H22","SPROV"
3,2011,11,2,31,23,34,34,31,1,0,1
3,2011,11,2,32,24,31,33,31,1,0,1
3,2011,11,2,32,24,31,33,31,1,0,1
3,2011,11,2,31,23,31,33,34,1,1,1
3,2011,11,2,31,23,31,33,34,1,1,1
3,2011,11,2,32,24,23,13,31,3,0,1
3,2011,11,2,13,24,34,31,34,3,1,1
3,2011,11,2,31,22,34,33,31,1,0,1
3,2011,11,2,31,24,34,13,34,1,0,1
3,2011,11,2,31,24,34,33,34,1,0,1
3,2011,11,2,31,24,11,33,31,3,1,1
3,2011,11,2,31,24,34,33,31,1,0,1
3,2011,11,2,31,24,34,33,31,3,0,1
3,2011,11,2,31,24,21,34,31,3,0,1
3,2011,11,2,31,23,34,33,31,3,0,1
3,2011,11,2,13,24,11,33,31,3,0,1
3,2011,11,2,97,97,97,97,97,1,0,1
3,2011,11,2,13,24,34,33,31,3,1,1
3,2011,11,2,13,24,34,33,31,3,NA,1
3,2011,11,2,31,24,34,33,31,0,0,1
3,2011,11,2,31,24,11,23,31,3,0,1
3,2011,11,2,13,12,34,33,31,3,0,1
3,2011,11,2,31,23,34,33,34,3,1,1
3,2011,11,2,31,24,31,33,13,3,0,1
3,2011,11,2,31,24,11,33,31,3,0,1
3,2011,11,2,31,23,34,33,31,3,1,1
3,2011,11,2,31,24,23,13,13,3,0,1
3,2011,11,2,11,12,21,31,31,3,0,1
3,2011,11,2,32,24,21,35,31,3,0,1
3,2011,11,2,11,12,33,35,31,1,0,1
3,2011,11,2,11,12,33,35,31,1,0,1
3,2011,11,2,13,12,34,33,31,1,1,1
3,2011,11,2,13,12,34,33,31,1,0,1
3,2011,11,2,13,13,21,33,31,3,1,1
3,2011,11,2,13,24,34,33,31,3,0,1
3,2011,11,2,13,24,34,33,31,3,0,1
3,2011,11,2,13,24,31,33,31,1,0,1
3,2011,11,2,13,24,31,33,31,1,0,1
3,2011,11,2,13,24,21,31,31,3,1,1
3,2011,11,2,13,24,31,33,31,1,0,1
3,2011,11,2,13,24,34,33,31,3,0,1
3,2011,11,2,13,24,31,33,13,3,1,1
3,2011,11,2,42,13,33,33,31,2,1,1
3,2011,11,2,13,24,31,33,34,0,1,1
3,2011,11,2,13,24,31,33,34,0,0,1
3,2011,11,2,13,24,31,33,31,3,0,1
3,2011,11,2,31,24,34,33,13,3,1,1
3,2011,11,2,13,23,11,33,13,3,0,1
3,2011,11,2,13,23,11,33,13,3,0,1
3,2011,11,2,13,23,11,13,13,3,1,1
3,2011,11,2,13,13,21,33,31,2,1,1
3,2011,11,2,13,13,21,33,31,2,0,1
3,2011,11,2,13,13,34,11,13,3,1,1
3,2011,11,2,13,13,34,11,13,3,0,1
3,2011,11,2,13,24,34,33,13,3,0,1
3,2011,11,2,31,22,34,33,34,1,0,1
3,2011,11,2,31,22,34,33,34,1,1,1
3,2011,11,2,31,22,34,33,34,1,0,1
3,2011,11,2,13,13,21,33,31,3,0,1
3,2011,11,2,32,24,34,33,13,2,0,1
3,2011,11,2,32,24,34,33,13,2,0,1
3,2011,11,2,32,24,34,33,13,2,0,1
3,2011,11,2,42,24,34,33,23,1,0,1
3,2011,11,2,42,23,34,33,34,0,0,1
3,2011,11,2,42,23,34,33,34,0,0,1
3,2011,11,2,42,24,34,33,34,3,1,1
3,2011,11,2,31,24,34,33,31,3,0,1
3,2011,11,2,31,24,34,33,31,3,0,1
3,2011,11,2,42,24,34,13,34,NA,0,1
3,2011,11,2,31,24,34,33,24,1,0,1
3,2011,11,2,31,24,34,33,24,1,0,1
3,2011,11,2,43,24,34,33,23,3,0,1
