"V006","V007","V024","V025","V113","V116","V127","V128","V129","V460","H22","SPROV"
4,2016,11,2,97,97,97,97,97,3,0,1
4,2016,11,2,12,22,34,31,35,3,0,1
4,2016,11,2,14,31,34,31,35,0,1,1
4,2016,11,2,14,22,21,31,31,3,0,1
4,2016,11,2,14,13,34,33,36,3,1,1
4,2016,11,2,14,21,34,33,31,3,0,1
4,2016,11,2,14,21,34,33,31,3,0,1
4,2016,11,2,14,22,11,33,31,1,0,1
4,2016,11,2,11,12,34,31,31,1,1,1
4,2016,11,2,14,22,11,13,21,NA,0,1
4,2016,11,2,12,21,34,31,31,3,0,1
4,2016,11,2,12,12,21,31,31,1,1,1
4,2016,11,2,14,13,21,33,31,1,0,1
4,2016,11,2,14,22,34,31,31,1,0,1
4,2016,11,2,31,22,34,31,31,3,1,1
4,2016,11,2,42,22,34,33,31,1,0,1
4,2016,11,2,42,22,34,33,31,1,0,1
4,2016,11,2,41,23,34,33,31,1,0,1
4,2016,11,2,31,22,34,31,31,1,1,1
4,2016,11,2,31,23,34,33,12,1,1,1
4,2016,11,2,32,22,34,33,31,1,1,1
4,2016,11,2,31,22,11,33,12,1,1,1
5,2016,11,2,31,23,11,33,12,3,0,1
5,2016,11,2,41,23,11,33,31,1,0,1
5,2016,11,2,32,23,11,13,12,1,0,1
5,2016,11,2,42,23,34,33,12,3,0,1
5,2016,11,2,41,23,34,33,12,1,0,1
5,2016,11,2,42,23,34,33,12,3,0,1
5,2016,11,2,42,23,34,33,12,3,8,1
5,2016,11,2,41,23,34,33,31,3,0,1
5,2016,11,2,31,23,34,13,12,3,0,1
5,2016,11,2,41,23,34,33,12,3,0,1
5,2016,11,2,42,23,34,13,31,1,0,1
5,2016,11,2,32,31,11,13,12,3,1,1
5,2016,11,2,31,22,34,32,23,1,1,1
5,2016,11,2,32,43,34,33,31,0,0,1
5,2016,11,2,42,22,23,13,31,1,0,1
5,2016,11,2,42,22,23,13,31,1,0,1
5,2016,11,2,32,43,34,33,31,3,0,1
5,2016,11,2,41,22,33,31,31,3,0,1
5,2016,11,2,42,22,34,31,31,1,1,1
5,2016,11,2,41,22,34,32,12,3,1,1
5,2016,11,2,32,43,34,33,31,1,0,1
5,2016,11,2,32,22,21,31,31,1,0,1
5,2016,11,2,41,22,34,31,31,3,0,1
5,2016,11,2,12,22,33,31,31,1,0,1
5,2016,11,2,31,22,21,31,23,3,0,1
5,2016,11,2,42,21,34,31,31,1,0,1
5,2016,11,2,42,21,34,31,31,1,0,1
5,2016,11,2,41,22,11,13,12,0,0,1
5,2016,11,2,41,22,11,13,12,0,0,1
5,2016,11,2,42,22,11,13,12,1,0,1
5,2016,11,2,42,41,34,33,31,0,0,1
5,2016,11,2,31,23,34,31,31,0,0,1
5,2016,11,2,13,23,34,13,31,1,0,1
5,2016,11,2,11,22,34,31,31,3,0,1
5,2016,11,2,14,23,34,13,31,1,0,1
5,2016,11,2,31,12,21,31,31,1,0,1
5,2016,11,2,31,23,34,31,31,1,0,1
5,2016,11,2,31,23,34,31,31,3,0,1
5,2016,11,2,14,23,34,13,31,3,0,1
5,2016,11,2,14,23,34,13,31,3,0,1
5,2016,11,2,14,12,34,33,31,1,0,1
5,2016,11,2,14,23,11,13,12,3,1,1
5,2016,11,2,31,22,34,31,35,1,0,1
5,2016,11,2,11,22,34,31,31,1,0,1
5,2016,11,2,13,23,34,13,31,1,0,1
5,2016,11,2,14,23,34,33,31,3,0,1
5,2016,11,2,31,23,21,13,35,3,0,1
5,2016,11,2,41,23,34,33,12,3,0,1
5,2016,11,2,42,11,11,13,21,3,0,1
5,2016,11,2,42,11,11,13,21,3,0,1
5,2016,11,2,42,11,11,13,21,3,0,1
5,2016,11,2,41,23,34,13,12,3,1,1
5,2016,11,2,32,23,34,33,12,3,1,1
5,2016,11,2,32,23,34,33,12,3,1,1
5,2016,11,2,42,22,34,13,12,3,0,1
5,2016,11,2,42,22,34,13,12,3,0,1
5,2016,11,2,31,23,34,13,31,3,0,1
5,2016,11,2,31,23,34,13,31,3,0,1
5,2016,11,2,41,23,34,33,12,3,0,1
5,2016,11,2,11,23,33,33,31,2,0,1
5,2016,11,2,14,23,34,31,31,1,0,1
5,2016,11,2,14,23,34,31,31,1,0,1
5,2016,11,2,14,23,31,33,31,1,0,1
5,2016,11,2,14,23,34,33,31,3,1,1
5,2016,11,2,14,23,31,33,31,1,0,1
5,2016,11,2,14,22,34,31,31,1,1,1
5,2016,11,2,11,22,34,31,31,NA,1,1
5,2016,11,2,14,23,34,33,12,2,0,1
5,2016,11,2,14,23,34,33,12,2,0,1
5,2016,11,2,14,23,34,33,31,1,0,1
5,2016,11,2,14,23,34,33,31,1,0,1
5,2016,11,2,31,22,34,31,31,1,0,1
5,2016,11,2,14,23,34,33,31,NA,0,1
5,2016,11,2,42,23,11,33,12,1,0,1
5,2016,11,2,42,23,11,33,12,1,1,1
5,2016,11,2,32,23,11,33,12,1,1,1
5,2016,11,2,32,13,23,13,12,0,0,1
5,2016,11,2,42,41,11,13,21,1,0,1
5,2016,11,2,42,41,11,13,21,1,0,1
5,2016,11,2,42,41,11,13,21,1,0,1
5,2016,11,2,42,31,11,13,12,1,0,1
5,2016,11,2,42,31,11,13,12,1,0,1
5,2016,11,2,42,31,11,13,12,1,0,1
5,2016,11,2,42,23,11,33,12,1,1,1
5,2016,11,2,43,23,11,13,12,0,0,1
5,2016,11,2,43,23,11,13,12,0,0,1
5,2016,11,2,43,23,11,13,12,0,0,1
5,2016,11,2,42,23,11,33,12,1,0,1
5,2016,11,2,42,23,11,33,12,1,0,1
5,2016,11,2,42,23,23,13,12,1,0,1
5,2016,11,2,41,23,11,13,12,1,1,1
5,2016,11,2,41,23,11,13,12,1,0,1
5,2016,11,2,42,41,11,13,21,1,0,1
5,2016,11,2,42,41,11,13,21,1,0,1
5,2016,11,2,42,12,11,33,12,0,0,1
5,2016,11,2,42,23,34,13,31,3,0,1
5,2016,11,2,42,22,21,33,31,1,0,1
5,2016,11,2,32,23,11,13,12,3,0,1
5,2016,11,2,32,23,11,13,12,3,0,1
5,2016,11,2,32,23,11,13,12,3,0,1
5,2016,11,2,31,22,34,31,31,3,0,1
5,2016,11,2,31,22,34,31,31,3,1,1
5,2016,11,2,42,22,34,33,31,3,1,1
5,2016,11,2,41,23,34,13,31,1,0,1
